"SA1_MAINCODE_2016","SA1_7DIGCODE"
20605113228,2113228
20605113229,2113229
20605113230,2113230
20607114010,2114010
20607114011,2114011
20607114013,2114013
20607114019,2114019
20607114020,2114020
20607114021,2114021
20607114104,2114104
20607114201,2114201
20607114202,2114202
20607114203,2114203
20607114204,2114204
20607114205,2114205
20607114206,2114206
20607114207,2114207
20607114209,2114209
20607114210,2114210
20607114211,2114211
20607114212,2114212
20607114213,2114213
20607114214,2114214
20607114215,2114215
20607114218,2114218
20607114219,2114219
20607114220,2114220
20607114221,2114221
21303134809,2134809
21303134811,2134811
21303134812,2134812
21303134813,2134813
21303134814,2134814
21303134817,2134817
21303134825,2134825
21303134826,2134826
21303134827,2134827
